Game #,Day,Date,Start,End,Home Team,Away Team,Arena,Division,Flight,Competition,Association,Notes
AQ9400,Saturday,2015-10-17,08:45:00,10:00:00,Abbotsford Female Atom C2,Meadow Ridge Female Atom C2,Abbotsford Recreation Centre,Atom,Red Group,Balancing,Abbotsford Female
AQ9000,Saturday,2015-10-17,09:30:00,10:45:00,Richmond Female Atom C1,Burnaby Female Atom C1,Richmond Ice Centre Coliseum,Atom,Black Group,Balancing,Richmond Female
AQ9405,Saturday,2015-10-17,09:30:00,10:45:00,North Shore Female Atom C3,Richmond Female Atom C3,Ice Sports North Shore 1 Red,Atom,Red Group,Balancing,North Shore Female
BQ9309,Saturday,2015-10-17,10:00:00,11:15:00,Vancouver Girls Bantam C1,North Shore Female Bantam C1,Killarney Community Centre,Bantam,Black Group,Balancing,Vancouver Girls
PQ9008,Saturday,2015-10-17,11:00:00,12:15:00,North Shore Female Peewee A1,Tri Cities Female Peewee A1,Ice Sports North Shore 1 Red,Peewee,Tier 1,Placement,North Shore Female
AQ9203,Saturday,2015-10-17,11:15:00,12:30:00,North Shore Female Atom C2,Tri Cities Female Atom C1,Ice Sports North Shore 3 Green,Atom,Blue Group,Balancing,North Shore Female
MQ9317,Saturday,2015-10-17,11:30:00,12:45:00,Vancouver Girls Midget C1,North Shore Female Midget C1,Killarney Community Centre,Midget,Black Group,Balancing,Vancouver Girls
AQ9004,Saturday,2015-10-17,12:15:00,13:30:00,North Shore Winter Club Female Atom C1,Surrey Female Atom C1,North Shore Winter Club,Atom,Black Group,Balancing,North Shore Winter Club
PQ9713,Saturday,2015-10-17,13:15:00,14:30:00,Richmond Female Peewee C2,Tri Cities Female Peewee C2,Richmond Ice Centre Pond,Peewee,Red Group,Balancing,Richmond Female
AQ9406,Saturday,2015-10-17,15:30:00,16:45:00,Surrey Female Atom C2,Vancouver Girls Atom C1,North Surrey Arena 2,Atom,Red Group,Balancing,Surrey Female
BQ9708,Saturday,2015-10-17,15:30:00,16:45:00,Western Washington Female Bantam C1,Abbotsford Female Bantam C1,Bellingham Sportsplex,Bantam,Red Group,Balancing,Western Washington Female
MQ9318,Saturday,2015-10-17,16:45:00,18:15:00,Langley Girls Midget C1,Abbotsford Female Midget C1,George Preston Recreation Centre,Midget,Black Group,Balancing,Langley Girls
PQ9011,Saturday,2015-10-17,16:45:00,18:00:00,Vancouver Girls Peewee A1,Langley Girls Peewee A1,Trout Lake Community Centre,Peewee,Tier 1,Placement,Vancouver Girls
MQ9010,Saturday,2015-10-17,17:00:00,18:30:00,Western Washington Female Midget A1,North Shore Female Midget A1,Bellingham Sportsplex,Midget,Tier 1,Placement,Western Washington Female
BQ9009,Saturday,2015-10-17,19:15:00,20:30:00,Tri Cities Female Bantam A1,Richmond Female Bantam A1,Coquitlam Main,Bantam,Tier 1,Placement,Tri Cities Female
BQ9710,Saturday,2015-10-17,19:30:00,20:45:00,Tri Cities Female Bantam C2,Surrey Female Bantam C1,Port Moody 2,Bantam,Red Group,Balancing,Tri Cities Female
BQ9310,Saturday,2015-10-17,19:45:00,21:00:00,Meadow Ridge Female Bantam C1,Langley Girls Bantam C1,Pitt Meadows Arena Fiat Red,Bantam,Black Group,Balancing,Meadow Ridge Female
MQ9319,Saturday,2015-10-17,20:45:00,22:00:00,Tri Cities Female Midget C1,Richmond Female Midget C1,Coquitlam Main,Midget,Black Group,Balancing,Tri Cities Female
PQ9320,Sunday,2015-10-18,08:00:00,09:15:00,Richmond Female Peewee C1,Langley Girls Peewee C1,Richmond Ice Centre Coliseum,Peewee,Black Group,Balancing,Richmond Female
MQ9008,Sunday,2015-10-18,09:00:00,10:15:00,Surrey Female Midget A1,Richmond Female Midget A1,Surrey Sport & Leisure Centre Arena 3 Green,Midget,Tier 1,Placement,Surrey Female
MQ9712,Sunday,2015-10-18,09:45:00,11:00:00,Western Washington Female Midget C1,Surrey Female Midget C2,Bellingham Sportsplex,Midget,Red Group,Balancing,Western Washington Female
BQ9711,Sunday,2015-10-18,10:30:00,11:45:00,Surrey Female Bantam C1,South Delta Female Bantam C1,Surrey Sport & Leisure Centre Arena 3 Green,Bantam,Red Group,Balancing,Surrey Female
AQ9202,Sunday,2015-10-18,11:00:00,12:15:00,Abbotsford Female Atom C1,Richmond Female Atom C2,MSA Arena - Abbotsford,Atom,Blue Group,Balancing,Abbotsford Female
AQ9407,Sunday,2015-10-18,11:15:00,12:30:00,Meadow Ridge Female Atom C2,Langley Girls Atom C2,Pitt Meadows Arena Volkswagen Blue,Atom,Red Group,Balancing,Meadow Ridge Female
MQ9713,Sunday,2015-10-18,11:30:00,12:45:00,North Shore Female Midget C2,Richmond Female Midget C2,Ice Sports North Shore 2 Blue,Midget,Red Group,Balancing,North Shore Female
